epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.3175,1.16038,0.79018,1,0.64607,0.000409357,0.000409357,0.000409357
2,32.0805,0.5433,0.94643,1,0.18221,0.000785135,0.000785135,0.000785135
3,48.095,0.33267,0.97768,1,0.09259,0.00111966,0.00111966,0.00111966
4,60.6275,0.29065,0.94643,1,0.15586,0.00106437,0.00106437,0.00106437
5,73.1753,0.25932,0.95089,1,0.15127,0.0010025,0.0010025,0.0010025
6,86.4517,0.23373,0.97768,1,0.07368,0.000940625,0.000940625,0.000940625
7,98.9228,0.22939,0.97768,1,0.05361,0.00087875,0.00087875,0.00087875
8,112.386,0.24213,0.96875,1,0.09423,0.000816875,0.000816875,0.000816875
9,126.346,0.21238,0.96429,1,0.10055,0.000755,0.000755,0.000755
10,140.28,0.1869,0.95536,1,0.11845,0.000693125,0.000693125,0.000693125
11,152.655,0.19576,0.96875,1,0.1048,0.00063125,0.00063125,0.00063125
12,165.103,0.16379,0.97321,1,0.07841,0.000569375,0.000569375,0.000569375
13,177.473,0.16321,0.96429,1,0.07,0.0005075,0.0005075,0.0005075
14,189.947,0.21828,0.96429,1,0.0938,0.000445625,0.000445625,0.000445625
15,202.284,0.16052,0.97321,1,0.07667,0.00038375,0.00038375,0.00038375
16,214.821,0.14973,0.96875,1,0.09381,0.000321875,0.000321875,0.000321875
17,227.521,0.15443,0.96875,1,0.07385,0.00026,0.00026,0.00026
18,239.948,0.11263,0.97321,1,0.06726,0.000198125,0.000198125,0.000198125
19,252.373,0.17992,0.96429,1,0.07844,0.00013625,0.00013625,0.00013625
20,264.781,0.11443,0.97321,1,0.07369,7.4375e-05,7.4375e-05,7.4375e-05
